,Log_R,DT,RF,KNN,NB,GB
accuracy,0.9454545454545454,0.9863636363636363,0.9931818181818182,0.9704545454545455,0.9954545454545455,0.9818181818181818
precession,0.9454545454545454,0.9863636363636363,0.9931818181818182,0.9704545454545455,0.9954545454545455,0.9818181818181818
f1,0.9454545454545454,0.9863636363636363,0.9931818181818182,0.9704545454545455,0.9954545454545455,0.9818181818181818
recall,0.9454545454545454,0.9863636363636363,0.9931818181818182,0.9704545454545455,0.9954545454545455,0.9818181818181818
